15805,20000,20000,12818,3543,6247,9762,9750,13432,5092,3954,7046,9039,16423,20000,20000,20000,3059,1475,17519,20000,20000,20000,10883,19653,2644,20000,20000,3149,20000
20000,7577,1809,14239,2577,4983,18225,16341,20000,14424,3607,10984,3407,11714,4580,16783,14704,2076,5044,2551,2277,9504,9008,14937,20000,5584,20000,20000,8886,20000
20000,20000,15360,20000,9150,20000,2842,15451,20000,6197,8405,20000,20000,5842,7390,13951,20000,8554,6178,20000,11632,20000,5189,20000,16590,17471,7959,7403,14311,4509
20000,18719,4638,14590,4985,20000,1901,6123,20000,12008,10355,7216,19226,20000,20000,20000,20000,20000,1552,7784,8932,2935,4183,5619,8865,20000,8224,5421,2758,20000
20000,4771,995,18992,18801,13684,20000,7233,20000,17922,7252,8306,17407,5544,13560,4373,20000,7731,11981,20000,7937,9670,5297,5727,7102,7537,20000,12812,13076,20000
20000,20000,4788,19453,2978,2772,4449,3189,20000,16410,11714,1420,20000,11546,4091,16083,20000,1986,8440,20000,14984,4183,20000,10170,19384,1428,20000,19658,6837,20000
20000,6289,20000,14350,7759,9229,3077,6868,20000,11490,8697,12133,3881,2712,4458,4609,20000,17796,7287,10990,7703,6684,4783,9069,4167,20000,5116,6722,9065,9000
20000,16471,20000,13966,15937,6919,3475,20000,20000,11772,2758,9888,6865,20000,11440,20000,20000,12927,16336,11501,4192,10347,20000,4986,20000,20000,20000,20000,1636,20000
20000,20000,2016,14569,16394,5075,5162,5923,20000,9240,4168,4318,20000,9677,20000,8774,20000,11207,10066,2558,20000,11507,20000,15292,17210,20000,19364,2853,7691,20000
20000,20000,6945,20000,18559,3282,2307,1728,20000,20000,9329,20000,20000,20000,10537,20000,12872,6268,3072,20000,6408,1762,19412,20000,9764,20000,20000,5683,12094,20000
20000,13120,1994,20000,13021,5128,20000,2348,20000,17777,16430,15542,7500,20000,20000,7137,20000,6980,3337,2797,13147,20000,10707,1056,2617,20000,20000,20000,7907,20000
20000,3950,7884,20000,20000,5167,6487,20000,20000,9967,12853,3532,20000,13467,6298,20000,20000,20000,20000,20000,8334,2336,1136,16728,11197,9305,20000,7122,5856,20000
20000,20000,2969,20000,20000,10234,10881,6740,10577,12905,20000,20000,20000,20000,10147,6026,20000,8297,5637,20000,10167,7174,20000,6551,10593,20000,5932,6945,2884,20000
